max_depth,min_samples_leaf,roc_auc_mean,roc_auc_std
15,50,0.7127576002152273,0.013427441221087456
6,50,0.7121093559834479,0.015298206883843396
6,20,0.7112996912512651,0.014170505490478694
10,20,0.7112089883034193,0.010466217524661198
6,5,0.7106955173783261,0.016680832304921078
10,50,0.710691930256095,0.013893957070969682
15,20,0.7102420026390971,0.010159533563964686
15,5,0.7091012977695786,0.007342489456018741
10,5,0.7067599318446777,0.011252552094237908
